年份,球员,类别,字段,数值,检出原因
1960,Jerry West,矛盾,Attack Strong on Drive,92,倾向极高(92)但力量只有 53
1960,Oscar Robertson,属性,Help Defense IQ,88,SG 位置均值 65±9，z=2.4 明显偏高
1962,John Havlicek,极端,Intangibles,98,接近满值
1965,Jerry Sloan,矛盾,Putback,19,积极性高达 95 但倾向仅 19
1965,Keith Erickson,矛盾,Drive,92,倾向极高(92)但控球只有 64
1965,Rick Barry,极端,Stamina,98,接近满值
1969,Bingo Smith,矛盾,Pass Interception,99,倾向极高(99)但抢断只有 59
1969,Eddie Mast,极端,Intangibles,98,接近满值
1969,Luther Rackley,极端,Intangibles,98,接近满值
1970,Dave Cowens,矛盾,Alley-Oop,99,倾向极高(99)但切入扣篮只有 58
1970,Geoff Petrie,矛盾,Alley-Oop,95,倾向极高(95)但切入扣篮只有 60
1970,Greg Fillmore,矛盾,Crash,10,积极性高达 90 但倾向仅 10
1972,Paul Westphal,极端,Hands,98,接近满值
1974,Harvey Catchings,矛盾,Crash,9,积极性高达 91 但倾向仅 9
1974,Scott Wedman,矛盾,Post Aggressive Backdown,15,力量高达 90 但倾向仅 15
1974,Bill Walton,极端,Intangibles,98,接近满值
1976,Moses Malone,矛盾,Crash,10,积极性高达 90 但倾向仅 10
1976,Adrian Dantley,极端,Stamina,98,接近满值
1976,Alex English,极端,Stamina,98,接近满值
1977,Brad Davis,矛盾,Putback,13,积极性高达 97 但倾向仅 13
1977,Walter Davis,极端,Stamina,98,接近满值
1977,Otis Birdsong,属性,Perimeter Defense,25,SG 位置均值 68±9，z=-4.9 明显偏低
1978,Larry Bird,矛盾,Flashy Pass,99,倾向极高(99)但传球视野只有 62
1978,Reggie Theus,矛盾,Alley-Oop,89,倾向极高(89)但切入扣篮只有 64
1978,Michael Cooper,属性,Defensive Consistency,89,SG 位置均值 57±14，z=2.2 明显偏高
1979,James Donaldson,矛盾,Alley-Oop,95,倾向极高(95)但切入扣篮只有 60
1979,Jerry Sichting,矛盾,Putback,6,积极性高达 91 但倾向仅 6
1979,Magic Johnson,极端,Stamina,98,接近满值
1980,Jeff Ruland,矛盾,Crash,15,积极性高达 90 但倾向仅 15
1980,Kiki Vandeweghe,矛盾,Flashy Pass,99,倾向极高(99)但传球视野只有 53
1980,Rick Mahorn,矛盾,Post Aggressive Backdown,90,倾向极高(90)但背身控制只有 58
1981,Frank Brickowski,矛盾,Off-Screen Shot Three,99,倾向极高(99)但三分球只有 48
1981,Rolando Blackman,矛盾,Block Shot,92,倾向极高(92)但盖帽只有 26
1981,Alton Lister,属性,Agility,29,PF 位置均值 59±14，z=-2.2 明显偏低
1982,Fat Lever,矛盾,Post Up,99,倾向极高(99)但背身控制只有 45
1982,Cliff Levingston,极端,Intangibles,98,接近满值
1982,Mark Eaton,矛盾,Spot Up Shot Three,90,倾向极高(90)但三分球只有 26
1983,John Paxson,矛盾,Putback,10,积极性高达 93 但倾向仅 10
1983,Thurl Bailey,矛盾,Crash,5,积极性高达 90 但倾向仅 5
1983,Antoine Carr,矛盾,Off-Screen Shot Three,88,倾向极高(88)但三分球只有 37
1984,Kevin Willis,极端,Intangibles,98,接近满值
1984,Michael Jordan,矛盾,Attack Strong on Drive,88,倾向极高(88)但力量只有 50
1984,Otis Thorpe,属性,Pass IQ,30,PF 位置均值 57±12，z=-2.3 明显偏低
1985,A.C. Green,矛盾,Crash,4,积极性高达 92 但倾向仅 4
1985,Charles Oakley,极端,Intangibles,98,接近满值
1985,Jon Koncak,极端,Intangibles,98,接近满值
1986,Mark Price,极端,Intangibles,98,接近满值
1986,Dennis Rodman,属性,Ball Handle,29,SF 位置均值 68±9，z=-4.2 明显偏低
1986,Billy Thompson,属性,Three-Point Shot,37,SF 位置均值 72±11，z=-3.1 明显偏低
1987,Sarunas Marciulionis,矛盾,Post Aggressive Backdown,0,力量高达 90 但倾向仅 0
1987,Chris Dudley,极端,Intangibles,98,接近满值
1987,David Robinson,矛盾,Spot Up Shot Three,89,倾向极高(89)但三分球只有 64
1988,Danny Manning,矛盾,Putback,15,积极性高达 90 但倾向仅 15
1988,Gary Grant,矛盾,Driving Dunk,98,倾向极高(98)但切入扣篮只有 25
1988,Steve Kerr,矛盾,Off-Screen Shot Three,16,三分球高达 92 但倾向仅 16
1989,B.J. Armstrong,矛盾,Shot Three,20,三分球高达 90 但倾向仅 20
1989,Chucky Brown,矛盾,Crash,0,积极性高达 92 但倾向仅 0
1989,Glen Rice,矛盾,Block Shot,95,倾向极高(95)但盖帽只有 34
1990,Scott Williams,矛盾,Crash,7,积极性高达 90 但倾向仅 7
1990,Willie Burton,矛盾,Pass Interception,99,倾向极高(99)但抢断只有 59
1990,Elden Campbell,极端,Intangibles,98,接近满值
1991,Anthony Avent,矛盾,Dish to Open Man,99,倾向极高(99)但传球准确性只有 54
1991,Isaac Austin,矛盾,Drive Right,95,倾向极高(95)但运球速度只有 32
1991,Terrell Brandon,矛盾,Driving Dunk,90,倾向极高(90)但切入扣篮只有 26
1992,Adam Keefe,矛盾,Crash,5,积极性高达 94 但倾向仅 5
