球员,位置,OVR,来源队(最多3),类别
Wilt Chamberlain,C/SF,99,ALL-TIME All-Time Philadelphia 76ers | ALL-TIME All-Time Los Angeles Lakers | ALL-TIME All-Time Golden State Warriors,allTime
Hakeem Olajuwon,C/PF,99,ALL-TIME All-Time Houston Rockets | CLASSIC 1993-94 Rockets,allTime
Bill Russell,,98,ALL-TIME All-Time Boston Celtics,allTime
Julius Erving,SF/SG,97,ALL-TIME All-Time Philadelphia 76ers | ALL-TIME All-Time Brooklyn Nets | CLASSIC 1976-77 76ers,allTime
Walt Frazier,PG/SG,97,ALL-TIME All-Time New York Knicks | CLASSIC 1971-72 Knicks,allTime
Bob Cousy,PG,96,ALL-TIME All-Time Boston Celtics,allTime
Elgin Baylor,SF/PF,96,ALL-TIME All-Time Los Angeles Lakers | CLASSIC 1964-65 Lakers | CLASSIC 1970-71 Lakers,allTime
Bob Pettit,PF/C,95,ALL-TIME All-Time Atlanta Hawks,allTime
Jerry Lucas,PF/C,95,ALL-TIME All-Time Sacramento Kings | CLASSIC 1971-72 Knicks,allTime
David Thompson,SG/SF,95,ALL-TIME All-Time Denver Nuggets,allTime
Gary Payton,PG/SG,95,ALL-TIME All-Time Oklahoma City Thunder | CLASSIC 2005-06 Heat | CLASSIC 2003-04 Lakers,allTime
Dolph Schayes,PF/C,94,ALL-TIME All-Time Philadelphia 76ers,allTime
Ray Allen,SG/PF,94,ALL-TIME All-Time Milwaukee Bucks | ALL-TIME All-Time Boston Celtics | ALL-TIME All-Time Oklahoma City Thunder,allTime
Bob McAdoo,C/PF,94,ALL-TIME All-Time Los Angeles Clippers,allTime
Willis Reed,C/PF,94,ALL-TIME All-Time New York Knicks | CLASSIC 1971-72 Knicks,allTime
George Mikan,C,94,ALL-TIME All-Time Los Angeles Lakers,allTime
Elvin Hayes,PF/C,94,ALL-TIME All-Time Houston Rockets | ALL-TIME All-Time Washington Wizards,allTime
Wes Unseld,C/PF,94,ALL-TIME All-Time Washington Wizards,allTime
Artis Gilmore,C,93,ALL-TIME All-Time Chicago Bulls | ALL-TIME All-Time San Antonio Spurs,allTime
Bill Sharman,SG/PG,92,ALL-TIME All-Time Boston Celtics,allTime
Richie Guerin,SG/PG,92,ALL-TIME All-Time New York Knicks,allTime
Dave Debusschere,PF/SF,92,ALL-TIME All-Time New York Knicks | ALL-TIME All-Time Detroit Pistons | CLASSIC 1971-72 Knicks,allTime
Mel Daniels,C/PF,92,ALL-TIME All-Time Indiana Pacers,allTime
Nate Thurmond,C,92,ALL-TIME All-Time Golden State Warriors,allTime
Cliff Hagan,SF/SG,91,ALL-TIME All-Time Atlanta Hawks,allTime
Lou Hudson,SF/SG,91,ALL-TIME All-Time Atlanta Hawks,allTime
Paul Arizin,SF/SG,91,ALL-TIME All-Time Golden State Warriors,allTime
Tim Hardaway,PG/SG,90,ALL-TIME All-Time Miami Heat | ALL-TIME All-Time Golden State Warriors | CLASSIC 1996-97 Heat,allTime
Wayne Embry,C/PF,90,ALL-TIME All-Time Sacramento Kings,allTime
Dave Bing,PG/SG,90,ALL-TIME All-Time Detroit Pistons,allTime
George McGinnis,PF/C,89,ALL-TIME All-Time Philadelphia 76ers | ALL-TIME All-Time Indiana Pacers | CLASSIC 1976-77 76ers,allTime
Tom Heinsohn,PF/C,89,ALL-TIME All-Time Boston Celtics,allTime
World B. Free,PG/SG,89,ALL-TIME All-Time Los Angeles Clippers | CLASSIC 1976-77 76ers,allTime
Ron Harper,PG/SG,89,ALL-TIME All-Time Los Angeles Clippers | CLASSIC 1995-96 Bulls | CLASSIC 1997-98 Bulls,allTime
Earl Monroe,PG/SG,89,ALL-TIME All-Time New York Knicks | ALL-TIME All-Time Washington Wizards | CLASSIC 1971-72 Knicks,allTime
Byron Beck,PF/SF,89,ALL-TIME All-Time Denver Nuggets,allTime
Freddie Lewis,PG/SG,89,ALL-TIME All-Time Indiana Pacers,allTime
Louie Dampier,PG/SG,89,ALL-TIME All-Time San Antonio Spurs,allTime
Gus Williams,,89,ALL-TIME All-Time Oklahoma City Thunder,allTime
Spencer Haywood,PF,89,ALL-TIME All-Time Oklahoma City Thunder,allTime
Hal Greer,PG/SG,88,ALL-TIME All-Time Philadelphia 76ers,allTime
Larry Nance,SF/PF,88,ALL-TIME All-Time Cleveland Cavaliers | ALL-TIME All-Time Phoenix Suns | CLASSIC 1989-90 Cavaliers,allTime
Joe Caldwell,SG/SF,88,ALL-TIME All-Time Atlanta Hawks,allTime
Bob Netolicky,PF/C,88,ALL-TIME All-Time Indiana Pacers,allTime
Bailey Howell,PF/SF,88,ALL-TIME All-Time Detroit Pistons,allTime
Larry Kenon,SF,88,ALL-TIME All-Time San Antonio Spurs,allTime
Fred Brown,PG/SG,88,ALL-TIME All-Time Oklahoma City Thunder,allTime
Phil Chenier,SG/PG,88,ALL-TIME All-Time Washington Wizards,allTime
Doug Collins,SG/SF,87,ALL-TIME All-Time Philadelphia 76ers | CLASSIC 1976-77 76ers,allTime
Junior Bridgeman,SF/SG,87,ALL-TIME All-Time Milwaukee Bucks,allTime
Kenyon Martin,PF/C,87,ALL-TIME All-Time Brooklyn Nets | CLASSIC 2001-02 Nets | CLASSIC 2007-08 Nuggets,allTime
Don Buse,PG/SG,87,ALL-TIME All-Time Indiana Pacers,allTime
Sidney Wicks,PF/SF,87,ALL-TIME All-Time Portland Trail Blazers,allTime
