group,slug,name,year,pos,pos2,potential,potMin,potMax,overall,status,note
AB,branden-carlson,Branden Carlson,2024,C,N/A,76,66,79,,待采集,
AB,c-j-mccollum,C.J. McCollum,2013,SG,PG,87,83,91,,已有卡,2013 卡 OVR72 已入库；仅需别名 CJ McCollum→C.J. McCollum（已修，待部署验证）
AB,daeqwon-plowden,Daeqwon Plowden,2024,SG,PG,76,66,79,,待采集,
AB,daniss-jenkins,Daniss Jenkins,2024,PG,N/A,75,66,79,,待采集,
AB,elijah-harkless,Elijah Harkless,2024,SG,PG,75,68,78,,待采集,
AB,ethan-thompson,Ethan Thompson,2021,SG,SF,74,66,79,,待采集,
AB,keshad-johnson,Keshad Johnson,2024,PF,SF,76,69,80,,待采集,
AB,malevy-leons,Malevy Leons,2024,PF,SF,76,68,79,,待采集,
AB,moussa-diabat,Moussa Diabaté,2022,PF,C,78,69,81,,已有卡,2022 卡 OVR69 已入库；仅需别名 Moussa Diabate→Moussa Diabaté
AB,nae-qwan-tomlin,Nae'Qwan Tomlin,2024,PF,N/A,76,67,78,,待采集,
AB,nicolas-claxton,Nicolas Claxton,2019,C,N/A,79,75,83,,已有卡,2019 卡 OVR74 已入库；仅需别名 Nic Claxton→Nicolas Claxton
AB,pj-hall,PJ Hall,2024,C,N/A,76,68,79,,待采集,
AB,rayj-dennis,RayJ Dennis,2024,SG,PG,76,68,80,,待采集,
AB,riley-minix,Riley Minix,2024,SF,N/A,76,67,79,,待采集,
AB,spencer-jones,Spencer Jones,2024,SF,N/A,76,67,79,,待采集,
AB,tolu-smith,Tolu Smith,2024,PF,C,76,67,79,,待采集,
AB,trey-alexander,Trey Alexander,2024,SG,N/A,76,68,79,,待采集,
AB,zyon-pullin,Zyon Pullin,2024,PG,SG,76,67,80,,待采集,
AB,ryan-nembhard,Ryan Nembhard,2025,PG,N/A,75,69,77,,待采集,
AB,keshon-gilbert,Keshon Gilbert,2025,SG,SF,74,70,78,,待采集,
AB,chaney-johnson,Chaney Johnson,2025,SF,PF,73,67,75,,待采集,
AB,moussa-cisse,Moussa Cisse,2025,C,N/A,73,67,75,,待采集,
AB,john-poulakidas,John Poulakidas,2025,SG,SF,71,67,75,,待采集,
AB,l-j-cryer,L.J. Cryer,2025,PG,N/A,75,71,79,,待采集,
AB,sean-pedulla,Sean Pedulla,2025,PG,N/A,73,69,77,,待采集,
AB,chris-manon,Chris Manon,2025,SG,SF,75,71,79,,待采集,
AB,jahmai-mashack,Jahmai Mashack,2025,SG,SF,77,73,81,,待采集,
AB,vladislav-goldin,Vladislav Goldin,2025,C,N/A,73,69,77,,待采集,
AB,hunter-dickinson,Hunter Dickinson,2025,C,N/A,70,66,74,,待采集,
AB,mohamed-diawara,Mohamed Diawara,2025,PF,SF,77,73,81,,待采集,
AB,caleb-love,Caleb Love,2025,PG,SG,75,71,79,,待采集,
AB,chris-youngblood,Chris Youngblood,2025,SG,SF,71,67,75,,待采集,
AB,jayson-kent,Jayson Kent,2025,SF,SG,73,69,77,,待采集,
AB,dylan-cardwell,Dylan Cardwell,2025,C,PF,77,71,79,,待采集,
AB,chucky-hepburn,Chucky Hepburn,2025,PG,N/A,79,75,83,,待采集,
AB,tamar-bates,Tamar Bates,2025,SG,SF,83,79,87,,待采集,
AB,julian-reese,Julian Reese,2025,C,PF,76,71,79,,待采集,
C,tristan-enaruna,Tristan Enaruna,2024,SF,SG,71,67,75,,待采集,
C,myron-gardner,Myron Gardner,2023,SF,SG,75,67,75,,待采集,
C,cormac-ryan,Cormac Ryan,2024,SG,SF,75,71,79,,待采集,
C,cj-huntley,CJ Huntley,2025,PF,C,75,71,79,,待采集,
C,blake-hinson,Blake Hinson,2024,PF,SF,74,70,78,,待采集,
C,jalen-slawson,Jalen Slawson,2023,SF,PF,79,75,83,,待采集,
C,pete-nance,Pete Nance,2023,PF,C,78,74,82,,待采集,
C,adam-flagler,Adam Flagler,2023,PG,SG,71,67,75,,待采集,
C,trevor-keels,Trevor Keels,2022,SG,N/A,70,66,74,,待采集,
C,alex-morales,Alex Morales,2022,SG,SF,72,68,76,,待采集,
C,dominick-barlow,Dominick Barlow,2022,PF,C,76,69,77,,待采集,
C,jamaree-bouyea,Jamaree Bouyea,2022,PG,SG,74,68,76,,待采集,
C,dru-smith,Dru Smith,2021,PG,SG,75,67,75,,待采集,
C,david-jones-garcia,David Jones-Garcia,2024,SG,PG,72,68,76,,落选秀-当前数值调整,WASDRAFTED=No；无新秀卡/新秀OVR；用 current 快照数值 capped 80 调整（快照: david_jones_garcia_current.json）
