年份,球员,总评OVR
2018,Deandre Ayton,79
2018,Marvin Bagley III,78
2018,Luka Doncic,81
2018,Jaren Jackson Jr.,78
2018,Trae Young,77
2018,Mohamed Bamba,76
2018,Wendell Carter Jr.,74
2018,Collin Sexton,75
2018,Kevin Knox II,71
2018,Mikal Bridges,73
2018,Shai Gilgeous-Alexander,75
2018,Miles Bridges,72
2018,Michael Porter Jr.,72
2018,Donte DiVincenzo,68
2018,Lonnie Walker IV,71
2018,Kevin Huerter,70
2018,Josh Okogie,68
2018,Grayson Allen,69
2018,Aaron Holiday,70
2018,Anfernee Simons,69
2018,Moritz Wagner,70
2018,Landry Shamet,68
2018,Robert Williams III,75
2018,Jevon Carter,69
2018,Jalen Brunson,71
2018,Mitchell Robinson,73
2018,Gary Trent Jr.,68
2018,Jarred Vanderbilt,70
2018,Bruce Brown,70
2018,De'Anthony Melton,71
2018,Sviatoslav Mykhailiuk,71
2018,Shake Milton,69
2018,Drew Eubanks,70
2018,Haywood Highsmith,65
2018,Jock Landale,68
2018,Jordan McLaughlin,69
2018,Duncan Robinson,72
2018,Jae'Sean Tate,70
2018,Gabe Vincent,68
2018,Kenrich Williams,67
2019,Nickeil Alexander-Walker,
2019,R.J. Barrett,
2019,Goga Bitadze,
2019,Bol Bol,
2019,Oshae Brissett,
2019,Moses Brown,
2019,Brandon Clarke,
2019,Nicolas Claxton,
2019,Amir Coffey,
2019,Jarrett Culver,
2019,Terence Davis,
2019,Luguentz Dort,
2019,Tacko Fall,
2019,Bruno Fernando,
2019,Daniel Gafford,
2019,Darius Garland,
2019,Rui Hachimura,
2019,Jaxson Hayes,
2019,Tyler Herro,
2019,Talen Horton-Tucker,
2019,De'Andre Hunter,
2019,DaQuan Jeffries,
2019,Ty Jerome,
2019,Cameron Johnson,
2019,Keldon Johnson,
2019,John Konchar,
2019,Terance Mann,
2019,Caleb Martin,
2019,Cody Martin,
2019,Garrison Mathews,
2019,Jalen McDaniels,
2019,Ja Morant,
2019,Jaylen Nowell,
2019,Chuma Okeke,
2019,Jordan Poole,
2019,Kevin Porter Jr.,
2019,Cameron Reddish,
2019,Naz Reid,
2019,Max Strus,
2019,Matisse Thybulle,
2019,Dean Wade,
2019,P.J. Washington,
2019,Coby White,
2019,Grant Williams,
2019,Zion Williamson,
2020,Precious Achiuwa,
2020,Cole Anthony,
2020,Deni Avdija,
2020,LaMelo Ball,
2020,Desmond Bane,
2020,Saddiq Bey,
2020,Jeff Dowtin,
2020,Anthony Edwards,
2020,Malachi Flynn,
2020,Josh Green,
2020,Tyrese Haliburton,
2020,Killian Hayes,
2020,Isaiah Joe,
2020,Mason Jones,
2020,Tre Jones,
2020,Braxton Key,
2020,Vit Krejci,
2020,Naji Marshall,
2020,Kenyon Martin Jr.,
2020,Tyrese Maxey,
2020,Jaden McDaniels,
2020,Sam Merrill,
2020,Aaron Nesmith,
2020,Zeke Nnaji,
2020,Onyeka Okongwu,
2020,Isaac Okoro,
2020,Payton Pritchard,
2020,Immanuel Quickley,
2020,Paul Reed,
2020,Nick Richards,
2020,Matt Ryan,
2020,Jalen Smith,
2020,Pat Spencer,
2020,Lamar Stevens,
2020,Isaiah Stewart,
2020,Xavier Tillman Sr.,
2020,Obi Toppin,
2020,Devin Vassell,
2020,Lindy Waters III,
2020,Patrick Williams,
2020,James Wiseman,
2021,Santi Aldama,
2021,Jose Alvarado,
2021,Dalano Banton,
2021,Scottie Barnes,
2021,Charles Bassey,
2021,Brandon Boston Jr.,
2021,Jared Butler,
2021,D.J. Carton,
2021,Justin Champagnie,
2021,Josh Christopher,
2021,Cade Cunningham,
2021,Ayo Dosunmu,
2021,Chris Duarte,
2021,David Duke Jr.,
2021,Kessler Edwards,
2021,Luka Garza,
2021,Josh Giddey,
2021,Jordan Goodwin,
2021,Jalen Green,
2021,Quentin Grimes,
2021,Sam Hauser,
2021,Jay Huff,
2021,Nah'Shon Hyland,
2021,Isaiah Jackson,
2021,Jalen Johnson,
2021,Keon Johnson,
2021,Herbert Jones,
2021,Kai Jones,
2021,Corey Kispert,
2021,Jonathan Kuminga,
2021,A.J. Lawson,
2021,Isaiah Livers,
2021,Sandro Mamukelashvili,
2021,Tre Mann,
2021,Miles McBride,
2021,Mac McClung,
2021,Davion Mitchell,
2021,Evan Mobley,
2021,Moses Moody,
2021,Trey Murphy III,
2021,Daishen Nix,
2021,Eugene Omoruyi,
2021,Micah Potter,
2021,Jason Preston,
2021,Neemias Queta,
2021,Austin Reaves,
2021,Jeremiah Robinson-Earl,
2021,Alperen Sengun,
2021,Day'Ron Sharpe,
2021,Jericho Sims,
2021,Jaden Springer,
2021,Jalen Suggs,
2021,Terry Taylor,
2021,Cameron Thomas,
2021,J.T. Thor,
2021,Franz Wagner,
2021,Trendon Watford,
2021,Aaron Wiggins,
2021,Brandon Williams,
2021,Ziaire Williams,
2022,Ochai Agbaji,
2022,Patrick Baldwin Jr.,
2022,Paolo Banchero,
2022,MarJon Beauchamp,
2022,Malaki Branham,
2022,Christian Braun,
2022,Kendall Brown,
2022,Jamal Cain,
2022,Julian Champagnie,
2022,Max Christie,
2022,Dyson Daniels,
2022,Johnny Davis,
2022,JD Davison,
2022,Moussa Diabaté,
2022,Ousmane Dieng,
2022,Jalen Duren,
2022,Tari Eason,
2022,Keon Ellis,
2022,Collin Gillespie,
2022,A.J. Green,
2022,Jaden Hardy,
2022,Ron Harper Jr.,
2022,Kevon Harris,
2022,Chet Holmgren,
2022,Caleb Houstan,
2022,Jaden Ivey,
2022,Quenton Jackson,
2022,Nikola Jovic,
2022,Johnny Juzang,
2022,Walker Kessler,
2022,Christian Koloko,
2022,Jake LaRavia,
2022,E.J. Liddell,
2022,Tyrese Martin,
2022,Bennedict Mathurin,
2022,Karlo Matkovic,
2022,Bryce McGowens,
2022,Justin Minaya,
2022,Josh Minott,
2022,Isaiah Mobley,
2022,Wendell Moore Jr.,
2022,Keegan Murray,
2022,Andrew Nembhard,
2022,Scotty Pippen Jr.,
2022,David Roddy,
2022,Ryan Rollins,
2022,Gui Santos,
2022,Shaedon Sharpe,
2022,Jabari Smith Jr.,
2022,Jeremy Sochan,
2022,Dalen Terry,
2022,Luke Travers,
2022,Jabari Walker,
2022,TyTy Washington Jr.,
2022,Peyton Watson,
2022,Blake Wesley,
2022,Alondes Williams,
2022,Jalen Williams,
2022,Jaylin Williams,
2022,Mark Williams,
2022,Vince Williams Jr.,
2023,Emoni Bates,
2023,Anthony Black,
2023,Kobe Brown,
2023,Kobe Bufkin,
2023,Toumani Camara,
2023,Colin Castleton,
2023,Sidy Cissoko,
2023,Jaylen Clark,
2023,Noah Clowney,
2023,Bilal Coulibaly,
2023,Gradey Dick,
2023,Keyonte George,
2023,Mouhamed Gueye,
2023,Jordan Hawkins,
2023,Scoot Henderson,
2023,Taylor Hendricks,
2023,Jalen Hood-Schifino,
2023,Jett Howard,
2023,Andre Jackson Jr.,
2023,G.G. Jackson,
2023,Trayce Jackson-Davis,
2023,Jaime Jaquez Jr.,
2023,Trey Jemison III,
2023,Colby Jones,
2023,Yuki Kawamura,
2023,Maxwell Lewis,
2023,Dereck Lively II,
2023,Chris Livingston,
2023,Seth Lundy,
2023,Brandon Miller,
2023,Jordan Miller,
2023,Leonard Miller,
2023,Kris Murray,
2023,Julian Phillips,
2023,Jalen Pickett,
2023,Brandin Podziemski,
2023,Craig Porter Jr.,
2023,Olivier-Maxence Prosper,
2023,Rayan Rupert,
2023,Adama Sanogo,
2023,Marcus Sasser,
2023,Brice Sensabaugh,
2023,Ben Sheppard,
2023,Nick Smith Jr.,
2023,Julian Strawther,
2023,Amen Thompson,
2023,Ausar Thompson,
2023,Oscar Tshiebwe,
2023,Hunter Tyson,
2023,Tristan Vukcevic,
2023,Jarace Walker,
2023,Cason Wallace,
2023,Jordan Walsh,
2023,Victor Wembanyama,
2023,Dariq Whitehead,
2023,Cam Whitmore,
2023,Jalen Wilson,
2023,Isaiah Wong,
2024,Jamison Battle,
2024,Adem Bona,
2024,Jalen Bridges,
2024,Matas Buzelis,
2024,Carlton Carrington,
2024,Devin Carter,
2024,Stephon Castle,
2024,Ulrich Chomche,
2024,Cam Christie,
2024,Donovan Clingan,
2024,Isaiah Collier,
2024,Isaiah Crawford,
2024,Pacome Dadiet,
2024,N'Faly Dante,
2024,Robert Dillingham,
2024,Nikola Djurisic,
2024,Ryan Dunn,
2024,Zach Edey,
2024,Justin Edwards,
2024,Kyle Filipowski,
2024,Enrique Freeman,
2024,Johnny Furphy,
2024,Kyshawn George,
2024,Ron Holland,
2024,DaRon Holmes II,
2024,Ariel Hukporti,
2024,Oso Ighodaro,
2024,Harrison Ingram,
2024,Bronny James Jr.,
2024,A.J. Johnson,
2024,Dillon Jones,
2024,Isaac Jones,
2024,Bobi Klintman,
2024,Dalton Knecht,
2024,Tyler Kolek,
2024,Pelle Larsson,
2024,Jared McCain,
2024,Kevin McCullar Jr.,
2024,Yves Missi,
2024,Ajay Mitchell,
2024,Jonathan Mogbo,
2024,Tristen Newton,
2024,Quinten Post,
2024,Antonio Reeves,
2024,Zaccharie Risacher,
2024,Tidjane Salaun,
2024,Alexandre Sarr,
2024,Baylor Scheierman,
2024,Terrence Shannon Jr.,
2024,Jamal Shead,
2024,Reed Sheppard,
2024,Tristan Da Silva,
2024,K.J. Simpson,
2024,Tyler Smith,
2024,Cam Spencer,
2024,Nikola Topic,
2024,Jaylon Tyson,
2024,Ja'Kobe Walter,
2024,Kel'el Ware,
2024,Anton Watson,
2024,Jaylen Wells,
2024,Cody Williams,
2025,Ace Bailey,
2025,Brooks Barnhizer,
2025,Joan Beringer,
2025,Koby Brea,
2025,Johni Broome,
2025,Carter Bryant,
2025,Walter Clayton Jr.,
2025,Nique Clifford,
2025,Cedric Coward,
2025,Egor Demin,
2025,V.J. Edgecombe,
2025,Noa Essengue,
2025,Jeremiah Fears,
2025,Cooper Flagg,
2025,Rasheer Fleming,
2025,Hugo Gonzalez,
2025,Dylan Harper,
2025,Kasparas Jakucionis,
2025,Sion James,
2025,Tre Johnson,
2025,Kam Jones,
2025,Ryan Kalkbrenner,
2025,Kon Knueppel,
2025,Chaz Lanier,
2025,Khaman Maluach,
2025,Alijah Martin,
2025,Liam McNeeley,
2025,Collin Murray-Boyles,
2025,Asa Newell,
2025,Yanic Konan Niederhauser,
2025,Micah Peavy,
2025,Noah Penda,
2025,Taelon Peter,
2025,Drake Powell,
2025,Tyrese Proctor,
2025,Derik Queen,
2025,Maxime Raynaud,
2025,Will Richard,
2025,Jase Richardson,
2025,Will Riley,
2025,Kobe Sanders,
2025,Ben Saraf,
2025,Max Shulga,
2025,Javon Small,
2025,Thomas Sorber,
2025,Adou Thiero,
2025,John Tonje,
2025,Alex Toohey,
2025,Nolan Traore,
2025,Jamir Watkins,
2025,Amari Williams,
2025,Danny Wolf,
2025,Hansen Yang,
2025,Rocco Zikarsky,
