年份,球员,当前OVR,新秀总评
2003,Leandro Barbosa,74,
2003,Earl Barron,70,
2003,Keith Bogans,73,
2003,Matt Bonner,73,
2003,Nick Collison,75,
2003,Brian Cook,74,
2003,Boris Diaw,76,
2003,Jarvis Hayes,71,
2003,Dahntay Jones,72,
2003,James Jones,75,
2003,Sasha Pavlovic,74,
2003,Kendrick Perkins,77,
2003,Mickael Piétrus,77,
2003,Josh Powell,70,
2003,Luke Walton,72,
2003,Mo Williams,75,
2004,Antonio Burks,71,
2004,Royal Ivey,69,
2004,Shaun Livingston,74,
2004,Beno Udrih,73,
2004,Dorell Wright,68,
2005,Kelenna Azubuike,73,
2005,Andray Blatche,75,
2005,Yakhouba Diawara,70,
2005,Travis Diener,72,
2005,Monta Ellis,81,
2005,Danny Granger,88,
2005,Chuck Hayes,72,
2005,Luther Head,73,
2005,Ian Mahinmi,72,
2005,Anthony Roberson,71,
2005,Wayne Simien,72,
2005,Hakim Warrick,74,
2006,J.J. Barea,77,
2006,Ronnie Brewer,77,
2006,Chris Copeland,73,
2006,Ryan Hollins,75,
2006,Steve Novak,76,
2006,Patrick O'Bryant,69,
2006,Leon Powe,75,
2006,Brandon Roy,91,
2006,Thabo Sefolosha,76,
2006,C.J. Watson,75,
2007,Joel Anthony,74,
2007,Aaron Brooks,75,
2007,Daequan Cook,73,
2007,Glen Davis,75,
2007,Jared Dudley,76,
2007,Rudy Fernandez,75,
2007,Jeff Green,73,
2007,Carl Landry,77,
2008,Ömer Asik,73,
2008,Mario Chalmers,75,
2008,Roy Hibbert,86,
2008,Timofey Mozgov,75,
2008,Brandon Rush,70,
2008,Marreese Speights,77,
2008,Reggie Williams,78,
2009,Aron Baynes,72,
2009,Darren Collison,78,
2009,Dante Cunningham,73,
2009,Joe Ingles,73,
2009,Eric Maynor,69,
2009,Jodie Meeks,73,
2009,Jeff Teague,85,
2009,Garrett Temple,70,
2010,Ed Davis,77,
2010,Landry Fields,75,
2010,Lazar Hayward,71,
2011,Bismack Biyombo,70,
2012,Festus Ezeli,76,
2012,Tony Wroten,70,
2013,Kelly Olynyk,75,
2013,Mason Plumlee,76,
2014,Jerami Grant,81,
2014,Maxi Kleber,74,
2014,Doug McDermott,71,
2014,Jordan McRae,69,
2014,Eric Moreland,72,
2014,Dwight Powell,74,
2015,Royce O'Neale,77,
2016,Derrick Jones Jr.,79,
2016,Dorian Finney-Smith,75,
2016,Anthony Gill,74,
2016,Damian Jones,72,
2016,Gary Payton II,79,
2016,Jakob Poeltl,80,
2016,Ivica Zubac,85,
2017,Chris Boucher,73,
2017,Tony Bradley,73,
2017,Simone Fontecchio,77,
2017,Isaiah Hartenstein,84,
2017,Luke Kornet,78,
