年份,球员,当前OVR,新秀总评
2003,Carmelo Anthony,95,
2003,Chris Bosh,90,
2003,Kirk Hinrich,82,
2003,LeBron James,99,
2003,Chris Kaman,87,
2003,Kyle Korver,76,
2003,Darko Milicic,70,
2003,Zaza Pachulia,76,
2003,Dwyane Wade,97,
2003,David West,88,
2004,Tony Allen,85,
2004,Luol Deng,82,
2004,Dwight Howard,94,
2004,Andre Iguodala,82,
2004,Kevin Martin,86,
2004,Jameer Nelson,83,
2004,Josh Smith,86,
2004,J.R. Smith,80,
2004,Anderson Varejao,76,
2005,Andrew Bogut,78,
2005,Channing Frye,74,
2005,Chris Paul,97,
2005,Deron Williams,87,
2006,LaMarcus Aldridge,89,
2006,Andrea Bargnani,84,
2006,Shannon Brown,66,
2006,Rudy Gay,83,
2006,Daniel Gibson,74,
2006,Kyle Lowry,89,
2006,JJ Redick,83,
2006,Rajon Rondo,90,
2007,Corey Brewer,76,
2007,Mike Conley,88,
2007,Kevin Durant,98,
2007,Marc Gasol,93,
2007,Al Horford,85,
2007,Joakim Noah,87,
2007,Greg Oden,83,
2007,Tiago Splitter,77,
2008,Nicolas Batum,83,
2008,Goran Dragic,85,
2008,Eric Gordon,81,
2008,George Hill,79,
2008,Serge Ibaka,87,
2008,DeAndre Jordan,87,
2008,Brook Lopez,87,
2008,Kevin Love,91,
2008,Derrick Rose,95,
2008,Russell Westbrook,95,
2009,Stephen Curry,98,
2009,DeMar DeRozan,89,
2009,Taj Gibson,78,
2009,Danny Green,81,
2009,Blake Griffin,90,
2009,James Harden,95,
2009,Jrue Holiday,86,
2009,Patty Mills,77,
2009,Ricky Rubio,85,
2010,DeMarcus Cousins,90,
2010,Paul George,93,
2010,Gordon Hayward,88,
2010,Jeremy Lin,84,
2010,Timofey Mozgov,75,
2010,Quincy Pondexter,75,
2010,Evan Turner,75,
2010,John Wall,89,
2010,Hassan Whiteside,84,
2011,Jimmy Butler,93,
2011,Tobias Harris,83,
2011,Kyrie Irving,94,
2011,Reggie Jackson,70,
2011,Cory Joseph,77,
2011,Kawhi Leonard,96,
2011,Klay Thompson,91,
2011,Tristan Thompson,78,
2011,Jonas Valanciunas,82,
2011,Nikola Vucevic,86,
2011,Kemba Walker,89,
2012,Harrison Barnes,79,
2012,Bradley Beal,89,
2012,Anthony Davis,94,
2012,Andre Drummond,86,
2012,Draymond Green,89,
2012,Damian Lillard,94,
2012,Khris Middleton,88,
2013,Steven Adams,77,
2013,Giannis Antetokounmpo,97,
2013,Reggie Bullock,70,
2013,Kentavious Caldwell-Pope,75,
2013,Matthew Dellavedova,75,
2013,Rudy Gobert,88,
2013,Tim Hardaway Jr.,80,
2013,C.J. McCollum,86,
2013,Dennis Schroder,77,
2014,Kyle Anderson,75,
2014,Bogdan Bogdanovic,74,
2014,Clint Capela,77,
2014,Jordan Clarkson,77,
2014,Joel Embiid,95,
2014,Aaron Gordon,83,
2014,Gary Harris,73,
2014,Nikola Jokic,98,
2014,Zach LaVine,86,
2014,Jusuf Nurkic,82,
2014,Julius Randle,86,
2014,Marcus Smart,80,
2014,Andrew Wiggins,83,
2015,Devin Booker,93,
2015,Pat Connaughton,73,
2015,Javonte Green,78,
2015,Mario Hezonja,73,
2015,Tyus Jones,73,
2015,Kevon Looney,75,
2015,Trey Lyles,74,
2015,T.J. McConnell,81,
2015,Larry Nance Jr.,73,
2015,Kelly Oubre Jr.,80,
2015,Bobby Portis,80,
2015,Kristaps Porzingis,83,
2015,Norman Powell,85,
2015,D’Angelo Russell,76,
2015,Karl-Anthony Towns,91,
2015,Myles Turner,78,
2016,Jaylen Brown,95,
2016,Alex Caruso,82,
2016,Kris Dunn,77,
2016,Buddy Hield,75,
2016,Brandon Ingram,86,
2016,Caris LeVert,79,
2016,Dejounte Murray,84,
2016,Jamal Murray,89,
2016,Taurean Prince,76,
2016,Domantas Sabonis,88,
2016,Pascal Siakam,87,
2016,Ben Simmons,86,
2016,Fred VanVleet,83,
2017,Bam Adebayo,89,
2017,Jarrett Allen,86,
2017,OG Anunoby,88,
2017,Lonzo Ball,82,
2017,Dillon Brooks,84,
2017,Thomas Bryant,76,
2017,John Collins,81,
2017,Zach Collins,77,
2017,De’Aaron Fox,86,
2017,Josh Hart,82,
2017,Jonathan Isaac,73,
2017,Luke Kennard,78,
2017,Kyle Kuzma,80,
2017,Lauri Markkanen,87,
2017,Donovan Mitchell,93,
2017,Malik Monk,80,
2017,Jayson Tatum,94,
2017,Derrick White,85,
